lang,id,question,answer
de,de_0,Janets Enten legen 16 Eier pro Tag. Sie isst drei jeden Morgen zum Frühstück und backt mit vier jeden Tag Muffins für ihre Freunde. Den Rest verkauft sie täglich auf dem Bauernmarkt für 2 US-Dollar pro frischem Entenei. Wie viel Dollar nimmt sie täglich auf dem Bauernmarkt ein?,18
de,de_100,"Jerome hat 4 Freunde, die ihn an einem gewissen Tag besuchten. Der erste Freund hat 20-mal die Türklingel betätigt, bevor Jerome öffnete, der zweite hat die Türklingel 1/4 Mal öfter betätigt als Jeromes erster Freund. Der dritte Freund hat die Türklingel 10-mal öfter betätigt als der vierte Freund. Wenn der vierte Freund die Türklingel 60-mal betätigt hat, hat die Türklingel insgesamt wie oft geklingelt?",175
de,de_105,"Cody isst dreimal mehr Kekse als Amir. Wenn Amir 5 Kekse isst, wie viele Kekse essen dann beide zusammen?",20
de,de_108,"Henry backt Kekse für einen regionalen Backwettbewerb. Er möchte zweimal so viele backen wie letztes Jahr. Als er mit dem Backen fertig ist, bemerkt er, dass er 15 Kekse mehr gebacken hat als er eigentlich wollte. Er lässt 5 seiner Kekse fallen, als er sie zum Kühlen rausstellt und hat jetzt insgesamt 110 Kekse. Wie viele Kekse hat Henry letztes Jahr gebacken?",50
de,de_11,"Toula ging in die Bäckerei und kaufte verschiedene Arten von Gebäck. Sie kaufte 3 Dutzend Donuts, die 68 US-Dollar pro Dutzend kosten, 2 Dutzend Mini-Cupcakes, die 80 US-Dollar pro Dutzend kosten und 6 Dutzend Mini-Cheesecakes für 55 US-Dollar pro Dutzend. Wie hoch waren die Gesamtkosten?",694
de,de_116,"Katy bereitet Kaffee zu und verwendet dazu Teelöffel mit Zucker und Tassen mit Wasser im Verhältnis 7:13. Wenn sie insgesamt 120 Teelöffel Zucker und Tassen Wasser verwendet hat, berechne die Anzahl der Teelöffel Zucker, die sie verwendet hat.",42
de,de_120,"Miguel verwendet 2 Blätter Papier pro Woche für seine Zeichnungen. Wenn ein Zeichenblock 30 Blätter Papier hat, wie viele Blätter Papier verbraucht er dann pro Monat?",240
de,de_141,"Es gibt 700 Bienen in einem Bienenstock. Es gibt zwei Mal so viele Arbeiterbienen wie Babybienen, und es gibt zweimal so viele Babys wie Königinnen. Wie viele Arbeiterbienen gibt es?",400
de,de_143,"John kauft Milch für 2 Dollar, Eier für 3 Dollar, Glühbirnen für 3 Dollar, Tassen für 3 Dollar und Kakerlakenfallen für 4 Dollar. Wenn es 10 % Steuer auf alle Non-Food-Artikel gibt, sind die Kosten wie hoch.",16
de,de_146,"Johnny hebt gerade das Spielzeug auf dem Boden seines Zimmers auf. Er hat einen verpackten Lego-Bausatz mit 500 Teilen auf den Boden geschüttet und einen anderen, der 3 Mal so viele Teile hatte wie der 500-teilige, und einen anderen, der 1/4 der Anzahl Teile hatte. Wie viele Klötze hebt Johnny auf, wenn er alle Legosteine aufhebt?",2125
