id,lang,cond,model,rank,sent_idx,pivot_score,pivot_p95,char_start,char_end,n_tokens,sentence
de_0,de,target_cot,reason,1,0,1.1708984375,3.203125,0,33,6,"You are a careful mathematician.
"
de_0,de,target_cot,reason,2,1,1.1689453125,3.154296875,33,119,22,"Solve the problem step by step in de, then give the final answer as: FINAL: <number>

"
de_0,de,target_cot,reason,3,18,1.0078125,4.0546875,1045,1091,14,"Therefore, the final answer is: FINAL: $50. 

"
de_0,de,target_cot,reason,4,2,0.97265625,1.0556640625,119,128,2,"Problem:
"
de_0,de,target_cot,reason,5,3,0.71337890625,1.404296875,128,164,15,Janets Enten legen 16 Eier pro Tag. 
de_0,de,target_cot,reason,6,7,0.5791015625,1.0966796875,407,431,5,"Step-by-step solution:

"
de_0,de,target_cot,reason,7,6,0.52734375,1.671875,348,407,14,"Wie viel Dollar nimmt sie täglich auf dem Bauernmarkt ein?
"
de_0,de,target_cot,reason,8,19,0.4501953125,1.5078125,1091,1179,26,"Janet sells her eggs and muffins for $2 each, so on the market she makes $50 per day. 

"
de_0,de,en_cot,reason,1,0,1.1708984375,3.203125,0,33,6,"You are a careful mathematician.
"
de_0,de,en_cot,reason,2,1,1.119140625,3.14453125,33,124,22,"Solve the problem step by step in English, then give the final answer as: FINAL: <number>

"
de_0,de,en_cot,reason,3,3,0.76904296875,1.484375,133,169,15,Janets Enten legen 16 Eier pro Tag. 
de_0,de,en_cot,reason,4,22,0.73095703125,2.015625,1251,1267,8,"FINAL: 148 USD

"
de_0,de,en_cot,reason,5,2,0.6376953125,1.0478515625,124,133,2,"Problem:
"
de_0,de,en_cot,reason,6,16,0.55517578125,1.83984375,965,1023,11,"Final Answer: The final amount is calculated as follows:

"
de_0,de,en_cot,reason,7,6,0.5341796875,1.64453125,353,412,14,"Wie viel Dollar nimmt sie täglich auf dem Bauernmarkt ein?
"
de_0,de,en_cot,reason,8,23,0.4541015625,2.0,1267,1292,9,"So, Janet buys $148 daily"
de_100,de,target_cot,reason,1,0,1.1708984375,3.203125,0,33,6,"You are a careful mathematician.
"
de_100,de,target_cot,reason,2,1,1.1689453125,3.154296875,33,119,22,"Solve the problem step by step in de, then give the final answer as: FINAL: <number>

"
de_100,de,target_cot,reason,3,2,0.97265625,1.0556640625,119,128,2,"Problem:
"
de_100,de,target_cot,reason,4,7,0.701171875,1.3330078125,536,560,5,"Step-by-step solution:

"
de_100,de,target_cot,reason,5,4,0.51123046875,1.857421875,191,346,49,"Der erste Freund hat 20-mal die Türklingel betätigt, bevor Jerome öffnete, der zweite hat die Türklingel 1/4 Mal öfter betätigt als Jeromes erster Freund. "
de_100,de,target_cot,reason,6,3,0.339599609375,0.6474609375,128,191,20,"Jerome hat 4 Freunde, die ihn an einem gewissen Tag besuchten. "
de_100,de,target_cot,reason,7,5,0.299072265625,1.7158203125,346,428,26,Der dritte Freund hat die Türklingel 10-mal öfter betätigt als der vierte Freund. 
de_100,de,target_cot,reason,8,8,0.260009765625,0.98046875,560,682,28,"1. First, let's determine how many times each of the other friends' bets were made compared to Jerome's first friend.

   "
de_100,de,en_cot,reason,1,0,1.1708984375,3.203125,0,33,6,"You are a careful mathematician.
"
de_100,de,en_cot,reason,2,1,1.119140625,3.14453125,33,124,22,"Solve the problem step by step in English, then give the final answer as: FINAL: <number>

"
de_100,de,en_cot,reason,3,2,0.6376953125,1.0478515625,124,133,2,"Problem:
"
